iterations,cuts,model,model_base,discretization_type,dataset,accuracy,std,accuracy_pct,best_in_group,samples,features,classes,improvement_vs_base,best_base_model,best_base_accuracy
10it,4p,AODE-bin4u,AODE,equal_width,mfeat-zernike,0.745667,0.017333,74.57,false,2000,47,10,,,
10it,4p,AODE-bin4u,AODE,equal_width,optdigits,0.927815,0.007779,92.78,false,5620,64,10,,,
10it,4p,AODE-bin4u,AODE,equal_width,page-blocks,0.922408,0.00382,92.24,false,5473,10,5,,,
10it,4p,AODE-bin4u,AODE,equal_width,pendigits,0.938137,0.006018,93.81,false,10992,16,10,,,
10it,4p,AODE-bin4u,AODE,equal_width,segment,0.891775,0.011912,89.18,false,2310,19,7,,,
10it,4p,AODE-bin4u,AODE,equal_width,sonar,0.815885,0.052914,81.59,false,208,60,2,,,
10it,4p,AODE-bin4u,AODE,equal_width,spambase,0.727526,0.009854,72.75,false,4601,57,2,,,
10it,4p,AODE-bin4u,AODE,equal_width,vehicle,0.635623,0.031026,63.56,false,846,18,4,,,
10it,4p,AODE-bin4u,AODE,equal_width,waveform-5000,0.797866,0.010173,79.79,false,5000,40,3,,,
10it,4p,AODE-bin4u,AODE,equal_width,wine,0.951681,0.036823,95.17,false,178,13,3,,,
10it,5p,AODE-mdlp5,AODE,mdlp,adult,0.849012,0.002855,84.9,false,45222,14,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,balance-scale,0.884761,0.018882,88.48,true,625,4,3,,,
10it,5p,AODE-mdlp5,AODE,mdlp,breast-w,0.974621,0.014831,97.46,true,683,9,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,diabetes,0.749104,0.024216,74.91,false,768,8,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,ecoli,0.830218,0.040022,83.02,false,336,7,8,,,
10it,5p,AODE-mdlp5,AODE,mdlp,glass,0.707223,0.042417,70.72,false,214,9,6,,,
10it,5p,AODE-mdlp5,AODE,mdlp,hayes-roth,0.766345,0.050029,76.63,true,160,4,3,,,
10it,5p,AODE-mdlp5,AODE,mdlp,heart-statlog,0.82963,0.048594,82.96,false,270,13,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,ionosphere,0.907807,0.030087,90.78,false,351,34,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,iris,0.935556,0.056997,93.56,false,150,4,3,,,
10it,5p,AODE-mdlp5,AODE,mdlp,kdd_JapaneseVowels,0.840949,0.010633,84.09,false,9961,14,9,,,
10it,5p,AODE-mdlp5,AODE,mdlp,letter,0.608582,0.012539,60.86,false,20000,16,26,,,
10it,5p,AODE-mdlp5,AODE,mdlp,liver-disorders,0.593237,0.031212,59.32,false,345,6,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,mfeat-factors,0.9285,0.013654,92.85,false,2000,216,10,,,
10it,5p,AODE-mdlp5,AODE,mdlp,mfeat-fourier,0.779333,0.014094,77.93,false,2000,76,10,,,
10it,5p,AODE-mdlp5,AODE,mdlp,mfeat-karhunen,0.925333,0.011797,92.53,false,2000,64,10,,,
10it,5p,AODE-mdlp5,AODE,mdlp,mfeat-morphological,0.652667,0.023097,65.27,false,2000,6,10,,,
10it,5p,AODE-mdlp5,AODE,mdlp,mfeat-zernike,0.7415,0.020481,74.15,false,2000,47,10,,,
10it,5p,AODE-mdlp5,AODE,mdlp,optdigits,0.90818,0.008625,90.82,false,5620,64,10,,,
10it,5p,AODE-mdlp5,AODE,mdlp,page-blocks,0.961082,0.003244,96.11,false,5473,10,5,,,
10it,5p,AODE-mdlp5,AODE,mdlp,pendigits,0.791332,0.020666,79.13,false,10992,16,10,,,
10it,5p,AODE-mdlp5,AODE,mdlp,segment,0.853968,0.029245,85.4,false,2310,19,7,,,
10it,5p,AODE-mdlp5,AODE,mdlp,sonar,0.74719,0.062279,74.72,false,208,60,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,spambase,0.905165,0.009972,90.52,true,4601,57,2,,,
10it,5p,AODE-mdlp5,AODE,mdlp,vehicle,0.663966,0.02669,66.4,false,846,18,4,,,
10it,5p,AODE-mdlp5,AODE,mdlp,waveform-5000,0.8106,0.011148,81.06,false,5000,40,3,,,
10it,5p,AODE-mdlp5,AODE,mdlp,wine,0.986931,0.017873,98.69,true,178,13,3,,,
10it,5p,AODE-bin5q,AODE,equal_freq,adult,0.85008,0.003443,85.01,false,45222,14,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,balance-scale,0.855414,0.027063,85.54,false,625,4,3,,,
10it,5p,AODE-bin5q,AODE,equal_freq,breast-w,0.956061,0.015445,95.61,false,683,9,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,diabetes,0.757398,0.020432,75.74,false,768,8,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,ecoli,0.805655,0.021527,80.57,false,336,7,8,,,
10it,5p,AODE-bin5q,AODE,equal_freq,glass,0.722477,0.068078,72.25,true,214,9,6,,,
10it,5p,AODE-bin5q,AODE,equal_freq,hayes-roth,0.766345,0.050029,76.63,false,160,4,3,,,
10it,5p,AODE-bin5q,AODE,equal_freq,heart-statlog,0.832099,0.054427,83.21,false,270,13,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,ionosphere,0.917357,0.031495,91.74,false,351,34,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,iris,0.946667,0.039441,94.67,true,150,4,3,,,
10it,5p,AODE-bin5q,AODE,equal_freq,kdd_JapaneseVowels,0.906335,0.007882,90.63,true,9961,14,9,,,
10it,5p,AODE-bin5q,AODE,equal_freq,letter,0.796999,0.00564,79.7,true,20000,16,26,,,
10it,5p,AODE-bin5q,AODE,equal_freq,liver-disorders,0.671498,0.04087,67.15,true,345,6,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,mfeat-factors,0.9505,0.010782,95.05,false,2000,216,10,,,
10it,5p,AODE-bin5q,AODE,equal_freq,mfeat-fourier,0.779833,0.018956,77.98,false,2000,76,10,,,
10it,5p,AODE-bin5q,AODE,equal_freq,mfeat-karhunen,0.931333,0.011835,93.13,true,2000,64,10,,,
10it,5p,AODE-bin5q,AODE,equal_freq,mfeat-morphological,0.657667,0.017333,65.77,false,2000,6,10,,,
10it,5p,AODE-bin5q,AODE,equal_freq,mfeat-zernike,0.737167,0.010039,73.72,false,2000,47,10,,,
10it,5p,AODE-bin5q,AODE,equal_freq,optdigits,0.926097,0.007207,92.61,false,5620,64,10,,,
10it,5p,AODE-bin5q,AODE,equal_freq,page-blocks,0.945004,0.004749,94.5,false,5473,10,5,,,
10it,5p,AODE-bin5q,AODE,equal_freq,pendigits,0.957788,0.004316,95.78,true,10992,16,10,,,
10it,5p,AODE-bin5q,AODE,equal_freq,segment,0.919336,0.015597,91.93,true,2310,19,7,,,
10it,5p,AODE-bin5q,AODE,equal_freq,sonar,0.817585,0.049795,81.76,true,208,60,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,spambase,0.879879,0.010177,87.99,false,4601,57,2,,,
10it,5p,AODE-bin5q,AODE,equal_freq,vehicle,0.687974,0.024781,68.8,true,846,18,4,,,
10it,5p,AODE-bin5q,AODE,equal_freq,waveform-5000,0.811734,0.013499,81.17,true,5000,40,3,,,
10it,5p,AODE-bin5q,AODE,equal_freq,wine,0.972055,0.027812,97.21,false,178,13,3,,,
10it,5p,TAN-bin5u,TAN,equal_width,adult,0.856419,0.003278,85.64,true,45222,14,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,balance-scale,0.854881,0.029873,85.49,true,625,4,3,,,
10it,5p,TAN-bin5u,TAN,equal_width,breast-w,0.951692,0.016024,95.17,false,683,9,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,diabetes,0.76912,0.027495,76.91,true,768,8,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,ecoli,0.807506,0.029357,80.75,false,336,7,8,,,
10it,5p,TAN-bin5u,TAN,equal_width,glass,0.535026,0.080763,53.5,false,214,9,6,,,
10it,5p,TAN-bin5u,TAN,equal_width,hayes-roth,0.710347,0.071475,71.03,false,160,4,3,,,
10it,5p,TAN-bin5u,TAN,equal_width,heart-statlog,0.809877,0.061206,80.99,false,270,13,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,ionosphere,0.942119,0.03413,94.21,true,351,34,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,iris,0.948889,0.053254,94.89,false,150,4,3,,,
10it,5p,TAN-bin5u,TAN,equal_width,kdd_JapaneseVowels,0.863501,0.008722,86.35,false,9961,14,9,,,
10it,5p,TAN-bin5u,TAN,equal_width,letter,0.719983,0.006974,72,false,20000,16,26,,,
10it,5p,TAN-bin5u,TAN,equal_width,liver-disorders,0.584541,0.048892,58.45,false,345,6,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,mfeat-factors,0.958667,0.011135,95.87,false,2000,216,10,,,
10it,5p,TAN-bin5u,TAN,equal_width,mfeat-fourier,0.797667,0.016049,79.77,false,2000,76,10,,,
10it,5p,TAN-bin5u,TAN,equal_width,mfeat-karhunen,0.935667,0.013708,93.57,true,2000,64,10,,,
10it,5p,TAN-bin5u,TAN,equal_width,mfeat-morphological,0.694667,0.023526,69.47,true,2000,6,10,,,
10it,5p,TAN-bin5u,TAN,equal_width,mfeat-zernike,0.769333,0.016942,76.93,true,2000,47,10,,,
10it,5p,TAN-bin5u,TAN,equal_width,optdigits,0.954861,0.008206,95.49,false,5620,64,10,,,
10it,5p,TAN-bin5u,TAN,equal_width,page-blocks,0.921737,0.004796,92.17,false,5473,10,5,,,
10it,5p,TAN-bin5u,TAN,equal_width,pendigits,0.939017,0.005377,93.9,false,10992,16,10,,,
10it,5p,TAN-bin5u,TAN,equal_width,segment,0.914574,0.009779,91.46,false,2310,19,7,,,
10it,5p,TAN-bin5u,TAN,equal_width,sonar,0.766126,0.071632,76.61,true,208,60,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,spambase,0.766066,0.010708,76.61,false,4601,57,2,,,
10it,5p,TAN-bin5u,TAN,equal_width,vehicle,0.685621,0.045038,68.56,false,846,18,4,,,
10it,5p,TAN-bin5u,TAN,equal_width,waveform-5000,0.802068,0.014466,80.21,false,5000,40,3,,,
10it,5p,TAN-bin5u,TAN,equal_width,wine,0.966346,0.028671,96.63,false,178,13,3,,,
10it,5p,KDBLd,KDB,local,adult,0.838073,0.002312,83.81,false,45222,14,2,-1.74,KDB,0.855505
10it,5p,KDBLd,KDB,local,balance-scale,0.63515,0.03473,63.52,false,625,4,3,-19.79,KDB-bin5q,0.833039
10it,5p,KDBLd,KDB,local,breast-w,0.957528,0.021291,95.75,true,683,9,2,0.19,KDB-mdlp5,0.955582
10it,5p,KDBLd,KDB,local,diabetes,0.749979,0.027339,75,false,768,8,2,-1.39,KDB,0.7639
10it,5p,KDBLd,KDB,local,ecoli,0.803647,0.04527,80.36,false,336,7,8,-0.98,KDB-mdlp5,0.813399
10it,5p,KDBLd,KDB,local,glass,0.657386,0.041156,65.74,false,214,9,6,-5.27,KDB-bin5q,0.710072
10it,5p,KDBLd,KDB,local,hayes-roth,0.732739,0.085144,73.27,true,160,4,3,0.6,KDB-bin5q,0.726757
10it,5p,KDBLd,KDB,local,heart-statlog,0.809877,0.069807,80.99,true,270,13,2,0.37,KDB-mdlp5,0.806173
10it,5p,KDBLd,KDB,local,ionosphere,0.916378,0.036924,91.64,false,351,34,2,-2.38,KDB,0.940148
10it,5p,KDBLd,KDB,local,iris,0.94,0.052251,94,false,150,4,3,-0.44,KDB-bin5q,0.944444
10it,5p,KDBLd,KDB,local,kdd_JapaneseVowels,0.894088,0.009738,89.41,false,9961,14,9,-0.93,KDB-bin5q,0.903357
10it,5p,KDBLd,KDB,local,letter,0.633715,0.015047,63.37,false,20000,16,26,-20.76,KDB-bin5q,0.841316
10it,5p,KDBLd,KDB,local,liver-disorders,0.571981,0.038682,57.2,false,345,6,2,-4.54,KDB-bin5q,0.617391
10it,5p,KDBLd,KDB,local,mfeat-factors,0.955667,0.009281,95.57,false,2000,216,10,-0.55,KDB,0.961167
10it,5p,KDBLd,KDB,local,mfeat-fourier,0.798333,0.018653,79.83,true,2000,76,10,0.08,KDB,0.7975
10it,5p,KDBLd,KDB,local,mfeat-karhunen,0.843,0.032088,84.3,false,2000,64,10,-9.63,KDB,0.939333
10it,5p,KDBLd,KDB,local,mfeat-morphological,0.6735,0.017698,67.35,false,2000,6,10,-2.42,KDB,0.697667
10it,5p,KDBLd,KDB,local,mfeat-zernike,0.711833,0.024192,71.18,false,2000,47,10,-4.53,KDB,0.757167
10it,5p,KDBLd,KDB,local,optdigits,0.960496,0.006889,96.05,true,5620,64,10,0.18,KDB-bin5q,0.958718
10it,5p,KDBLd,KDB,local,page-blocks,0.96224,0.004721,96.22,false,5473,10,5,-0.06,KDB-mdlp5,0.962847
10it,5p,KDBLd,KDB,local,pendigits,0.939046,0.00975,93.9,false,10992,16,10,-3.03,KDB-bin5q,0.969341
10it,5p,KDBLd,KDB,local,segment,0.909235,0.0181,90.92,false,2310,19,7,-2.64,KDB-bin5q,0.935642
10it,5p,KDBLd,KDB,local,sonar,0.697669,0.068,69.77,false,208,60,2,-9.28,KDB,0.790481
10it,5p,KDBLd,KDB,local,spambase,0.930883,0.005918,93.09,false,4601,57,2,-0.24,KDB-mdlp5,0.933274
10it,5p,KDBLd,KDB,local,vehicle,0.693515,0.020544,69.35,false,846,18,4,-1.1,KDB-bin5q,0.704528
10it,5p,KDBLd,KDB,local,waveform-5000,0.807994,0.012413,80.8,false,5000,40,3,-0.43,KDB,0.812267
10it,5p,KDBLd,KDB,local,wine,0.975552,0.027801,97.56,false,178,13,3,-0.02,KDB-mdlp5,0.975714
10it,5p,AODELd,AODE,local,adult,0.798807,0.005043,79.88,false,45222,14,2,-5.43,AODE,0.85308
10it,5p,AODELd,AODE,local,balance-scale,0.790835,0.046329,79.08,false,625,4,3,-9.39,AODE-mdlp5,0.884761
10it,5p,AODELd,AODE,local,breast-w,0.974134,0.016538,97.41,false,683,9,2,-0.05,AODE-mdlp5,0.974621
10it,5p,AODELd,AODE,local,diabetes,0.743485,0.017915,74.35,false,768,8,2,-2.04,AODE,0.763919
10it,5p,AODELd,AODE,local,ecoli,0.814324,0.032853,81.43,false,336,7,8,-1.91,AODE,0.833398
10it,5p,AODELd,AODE,local,glass,0.69803,0.052141,69.8,false,214,9,6,-2.44,AODE-bin5q,0.722477
10it,5p,AODELd,AODE,local,hayes-roth,0.695554,0.077305,69.56,false,160,4,3,-7.08,AODE-mdlp5,0.766345
10it,5p,AODELd,AODE,local,heart-statlog,0.835802,0.047917,83.58,false,270,13,2,-0.49,AODE,0.840741
10it,5p,AODELd,AODE,local,ionosphere,0.912622,0.034453,91.26,false,351,34,2,-0.95,AODE,0.922093
10it,5p,AODELd,AODE,local,iris,0.935556,0.052654,93.56,false,150,4,3,-1.11,AODE-bin5q,0.946667
10it,5p,AODELd,AODE,local,kdd_JapaneseVowels,0.894724,0.008509,89.47,false,9961,14,9,-1.16,AODE-bin5q,0.906335
10it,5p,AODELd,AODE,local,letter,0.572682,0.011575,57.27,false,20000,16,26,-22.43,AODE-bin5q,0.796999
10it,5p,AODELd,AODE,local,liver-disorders,0.598068,0.033974,59.81,false,345,6,2,-7.34,AODE-bin5q,0.671498
10it,5p,AODELd,AODE,local,mfeat-factors,0.939333,0.012445,93.93,false,2000,216,10,-1.15,AODE,0.950833
10it,5p,AODELd,AODE,local,mfeat-fourier,0.784167,0.013973,78.42,true,2000,76,10,0.4,AODE,0.780167
10it,5p,AODELd,AODE,local,mfeat-karhunen,0.927667,0.011475,92.77,false,2000,64,10,-0.37,AODE-bin5q,0.931333
10it,5p,AODELd,AODE,local,mfeat-morphological,0.673333,0.013584,67.33,false,2000,6,10,-2.37,AODE,0.697
10it,5p,AODELd,AODE,local,mfeat-zernike,0.741,0.023199,74.1,false,2000,47,10,-0.8,AODE,0.749
10it,5p,AODELd,AODE,local,optdigits,0.924613,0.007306,92.46,false,5620,64,10,-0.58,AODE,0.930366
10it,5p,AODELd,AODE,local,page-blocks,0.965831,0.005302,96.58,true,5473,10,5,0.47,AODE-mdlp5,0.961082
10it,5p,AODELd,AODE,local,pendigits,0.886434,0.009843,88.64,false,10992,16,10,-7.14,AODE-bin5q,0.957788
10it,5p,AODELd,AODE,local,segment,0.908947,0.014275,90.89,false,2310,19,7,-1.04,AODE-bin5q,0.919336
10it,5p,AODELd,AODE,local,sonar,0.739252,0.064337,73.93,false,208,60,2,-7.83,AODE-bin5q,0.817585
10it,5p,AODELd,AODE,local,spambase,0.903643,0.008358,90.36,false,4601,57,2,-0.15,AODE-mdlp5,0.905165
10it,5p,AODELd,AODE,local,vehicle,0.672206,0.029288,67.22,false,846,18,4,-1.58,AODE-bin5q,0.687974
10it,5p,AODELd,AODE,local,waveform-5000,0.799466,0.011128,79.95,false,5000,40,3,-1.23,AODE-bin5q,0.811734
10it,5p,AODELd,AODE,local,wine,0.986822,0.014588,98.68,false,178,13,3,-0.01,AODE-mdlp5,0.986931
10it,5p,KDB-bin5q,KDB,equal_freq,adult,0.851636,0.002807,85.16,false,45222,14,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,balance-scale,0.833039,0.020635,83.3,true,625,4,3,,,
10it,5p,KDB-bin5q,KDB,equal_freq,breast-w,0.955571,0.014025,95.56,false,683,9,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,diabetes,0.720078,0.019136,72.01,false,768,8,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,ecoli,0.768942,0.035674,76.89,false,336,7,8,,,
10it,5p,KDB-bin5q,KDB,equal_freq,glass,0.710072,0.087259,71.01,true,214,9,6,,,
10it,5p,KDB-bin5q,KDB,equal_freq,hayes-roth,0.726757,0.076738,72.68,false,160,4,3,,,
10it,5p,KDB-bin5q,KDB,equal_freq,heart-statlog,0.791358,0.048728,79.14,false,270,13,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,ionosphere,0.922146,0.036417,92.21,false,351,34,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,iris,0.944444,0.039171,94.44,true,150,4,3,,,
10it,5p,KDB-bin5q,KDB,equal_freq,kdd_JapaneseVowels,0.903357,0.007037,90.34,true,9961,14,9,,,
10it,5p,KDB-bin5q,KDB,equal_freq,letter,0.841316,0.007384,84.13,true,20000,16,26,,,
10it,5p,KDB-bin5q,KDB,equal_freq,liver-disorders,0.617391,0.037872,61.74,true,345,6,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,mfeat-factors,0.958,0.009364,95.8,false,2000,216,10,,,
10it,5p,KDB-bin5q,KDB,equal_freq,mfeat-fourier,0.759167,0.016082,75.92,false,2000,76,10,,,
10it,5p,KDB-bin5q,KDB,equal_freq,mfeat-karhunen,0.884833,0.013445,88.48,false,2000,64,10,,,
10it,5p,KDB-bin5q,KDB,equal_freq,mfeat-morphological,0.660167,0.017151,66.02,false,2000,6,10,,,
10it,5p,KDB-bin5q,KDB,equal_freq,mfeat-zernike,0.732833,0.015948,73.28,false,2000,47,10,,,
10it,5p,KDB-bin5q,KDB,equal_freq,optdigits,0.958718,0.00453,95.87,false,5620,64,10,,,
10it,5p,KDB-bin5q,KDB,equal_freq,page-blocks,0.954383,0.003469,95.44,false,5473,10,5,,,
10it,5p,KDB-bin5q,KDB,equal_freq,pendigits,0.969341,0.003156,96.93,true,10992,16,10,,,
10it,5p,KDB-bin5q,KDB,equal_freq,segment,0.935642,0.011201,93.56,true,2310,19,7,,,
10it,5p,KDB-bin5q,KDB,equal_freq,sonar,0.752334,0.074454,75.23,false,208,60,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,spambase,0.898934,0.009896,89.89,false,4601,57,2,,,
10it,5p,KDB-bin5q,KDB,equal_freq,vehicle,0.704528,0.025653,70.45,true,846,18,4,,,
10it,5p,KDB-bin5q,KDB,equal_freq,waveform-5000,0.811802,0.012102,81.18,false,5000,40,3,,,
10it,5p,KDB-bin5q,KDB,equal_freq,wine,0.93115,0.042997,93.11,false,178,13,3,,,
10it,5p,KDB-mdlp5,KDB,mdlp,adult,0.851754,0.002955,85.18,false,45222,14,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,balance-scale,0.759892,0.026539,75.99,false,625,4,3,,,
10it,5p,KDB-mdlp5,KDB,mdlp,breast-w,0.955582,0.020753,95.56,false,683,9,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,diabetes,0.74784,0.02482,74.78,false,768,8,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,ecoli,0.813399,0.041084,81.34,true,336,7,8,,,
10it,5p,KDB-mdlp5,KDB,mdlp,glass,0.677982,0.051201,67.8,false,214,9,6,,,
10it,5p,KDB-mdlp5,KDB,mdlp,hayes-roth,0.726757,0.076738,72.68,false,160,4,3,,,
10it,5p,KDB-mdlp5,KDB,mdlp,heart-statlog,0.806173,0.052316,80.62,false,270,13,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,ionosphere,0.912609,0.025866,91.26,false,351,34,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,iris,0.94,0.044006,94,false,150,4,3,,,
10it,5p,KDB-mdlp5,KDB,mdlp,kdd_JapaneseVowels,0.836999,0.010126,83.7,false,9961,14,9,,,
10it,5p,KDB-mdlp5,KDB,mdlp,letter,0.656783,0.012327,65.68,false,20000,16,26,,,
10it,5p,KDB-mdlp5,KDB,mdlp,liver-disorders,0.599034,0.034062,59.9,false,345,6,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,mfeat-factors,0.9535,0.008854,95.35,false,2000,216,10,,,
10it,5p,KDB-mdlp5,KDB,mdlp,mfeat-fourier,0.787333,0.021349,78.73,false,2000,76,10,,,
10it,5p,KDB-mdlp5,KDB,mdlp,mfeat-karhunen,0.9195,0.013797,91.95,false,2000,64,10,,,
10it,5p,KDB-mdlp5,KDB,mdlp,mfeat-morphological,0.650667,0.021181,65.07,false,2000,6,10,,,
10it,5p,KDB-mdlp5,KDB,mdlp,mfeat-zernike,0.737333,0.014251,73.73,false,2000,47,10,,,
10it,5p,KDB-mdlp5,KDB,mdlp,optdigits,0.941338,0.008081,94.13,false,5620,64,10,,,
10it,5p,KDB-mdlp5,KDB,mdlp,page-blocks,0.962847,0.004334,96.28,true,5473,10,5,,,
10it,5p,KDB-mdlp5,KDB,mdlp,pendigits,0.824781,0.02192,82.48,false,10992,16,10,,,
10it,5p,KDB-mdlp5,KDB,mdlp,segment,0.89697,0.022595,89.7,false,2310,19,7,,,
10it,5p,KDB-mdlp5,KDB,mdlp,sonar,0.758456,0.081055,75.85,false,208,60,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,spambase,0.933274,0.006044,93.33,true,4601,57,2,,,
10it,5p,KDB-mdlp5,KDB,mdlp,vehicle,0.686788,0.033409,68.68,false,846,18,4,,,
10it,5p,KDB-mdlp5,KDB,mdlp,waveform-5000,0.807931,0.008537,80.79,false,5000,40,3,,,
10it,5p,KDB-mdlp5,KDB,mdlp,wine,0.975714,0.033103,97.57,true,178,13,3,,,
10it,5p,KDB,KDB,base,adult,0.855505,0.002932,85.55,true,45222,14,2,,,
10it,5p,KDB,KDB,base,balance-scale,0.833039,0.020635,83.3,false,625,4,3,,,
10it,5p,KDB,KDB,base,breast-w,0.955582,0.020753,95.56,false,683,9,2,,,
10it,5p,KDB,KDB,base,diabetes,0.7639,0.022456,76.39,true,768,8,2,,,
10it,5p,KDB,KDB,base,ecoli,0.813399,0.041084,81.34,false,336,7,8,,,
10it,5p,KDB,KDB,base,glass,0.710072,0.087259,71.01,false,214,9,6,,,
10it,5p,KDB,KDB,base,hayes-roth,0.726757,0.076738,72.68,false,160,4,3,,,
10it,5p,KDB,KDB,base,heart-statlog,0.806173,0.052316,80.62,false,270,13,2,,,
10it,5p,KDB,KDB,base,ionosphere,0.940148,0.031082,94.01,true,351,34,2,,,
10it,5p,KDB,KDB,base,iris,0.944444,0.039171,94.44,false,150,4,3,,,
10it,5p,KDB,KDB,base,kdd_JapaneseVowels,0.903357,0.007037,90.34,false,9961,14,9,,,
10it,5p,KDB,KDB,base,letter,0.841316,0.007384,84.13,false,20000,16,26,,,
10it,5p,KDB,KDB,base,liver-disorders,0.617391,0.037872,61.74,false,345,6,2,,,
10it,5p,KDB,KDB,base,mfeat-factors,0.961167,0.00801,96.12,true,2000,216,10,,,
10it,5p,KDB,KDB,base,mfeat-fourier,0.7975,0.019434,79.75,false,2000,76,10,,,
10it,5p,KDB,KDB,base,mfeat-karhunen,0.939333,0.011119,93.93,true,2000,64,10,,,
10it,5p,KDB,KDB,base,mfeat-morphological,0.697667,0.022844,69.77,true,2000,6,10,,,
10it,5p,KDB,KDB,base,mfeat-zernike,0.757167,0.016444,75.72,true,2000,47,10,,,
10it,5p,KDB,KDB,base,optdigits,0.958718,0.00453,95.87,false,5620,64,10,,,
10it,5p,KDB,KDB,base,page-blocks,0.962847,0.004334,96.28,false,5473,10,5,,,
10it,5p,KDB,KDB,base,pendigits,0.969341,0.003156,96.93,false,10992,16,10,,,
10it,5p,KDB,KDB,base,segment,0.935642,0.011201,93.56,false,2310,19,7,,,
10it,5p,KDB,KDB,base,sonar,0.790481,0.076456,79.05,true,208,60,2,,,
10it,5p,KDB,KDB,base,spambase,0.933274,0.006044,93.33,false,4601,57,2,,,
10it,5p,KDB,KDB,base,vehicle,0.704528,0.025653,70.45,false,846,18,4,,,
10it,5p,KDB,KDB,base,waveform-5000,0.812267,0.010175,81.23,true,5000,40,3,,,
10it,5p,KDB,KDB,base,wine,0.975714,0.033103,97.57,false,178,13,3,,,
10it,5p,TANLd,TAN,local,adult,0.818893,0.004329,81.89,false,45222,14,2,-3.75,TAN-bin5u,0.856419
10it,5p,TANLd,TAN,local,balance-scale,0.779507,0.078645,77.95,false,625,4,3,-7.54,TAN-bin5u,0.854881
10it,5p,TANLd,TAN,local,breast-w,0.964362,0.016095,96.44,false,683,9,2,-0.19,TAN,0.966302
10it,5p,TANLd,TAN,local,diabetes,0.752602,0.028507,75.26,false,768,8,2,-1.65,TAN-bin5u,0.76912
10it,5p,TANLd,TAN,local,ecoli,0.809549,0.033798,80.95,false,336,7,8,-0.1,TAN,0.81056
10it,5p,TANLd,TAN,local,glass,0.682306,0.042302,68.23,false,214,9,6,-1.43,TAN,0.696626
10it,5p,TANLd,TAN,local,hayes-roth,0.712364,0.053458,71.24,true,160,4,3,0.2,TAN-bin5u,0.710347
10it,5p,TANLd,TAN,local,heart-statlog,0.812346,0.050408,81.23,true,270,13,2,0.25,TAN-bin5u,0.809877
10it,5p,TANLd,TAN,local,ionosphere,0.922133,0.029852,92.21,false,351,34,2,-2,TAN-bin5u,0.942119
10it,5p,TANLd,TAN,local,iris,0.933333,0.043644,93.33,false,150,4,3,-1.78,TAN,0.951111
10it,5p,TANLd,TAN,local,kdd_JapaneseVowels,0.862898,0.010276,86.29,false,9961,14,9,-2.93,TAN,0.892179
10it,5p,TANLd,TAN,local,letter,0.588466,0.016556,58.85,false,20000,16,26,-18.82,TAN,0.7767
10it,5p,TANLd,TAN,local,liver-disorders,0.573913,0.035415,57.39,false,345,6,2,-8.41,TAN,0.657971
10it,5p,TANLd,TAN,local,mfeat-factors,0.952,0.007571,95.2,false,2000,216,10,-0.72,TAN,0.959167
10it,5p,TANLd,TAN,local,mfeat-fourier,0.796333,0.017725,79.63,false,2000,76,10,-0.17,TAN,0.798
10it,5p,TANLd,TAN,local,mfeat-karhunen,0.921167,0.012882,92.12,false,2000,64,10,-1.45,TAN-bin5u,0.935667
10it,5p,TANLd,TAN,local,mfeat-morphological,0.662333,0.020099,66.23,false,2000,6,10,-3.23,TAN-bin5u,0.694667
